fish_id,year,station,length,sex,gut_length,SP1,SP2,PS,plates,grn,grg,grl2,grl3
BK16278,2016,128,39,f,NA,2.337,2.724,4.224,4,14,0.135,0.7453333,0.7386667
BK16279,2016,128,45,f,NA,2.763,2.965,4.48,4,14,0.1413333,1.186333,1.219
BK16280,2016,128,42,f,NA,2.703,2.915,4.833,5,NA,NA,NA,NA
BK16281,2016,128,46,m,NA,2.655,2.749,4.608,6,16,0.108,1.007333,0.9856667
BK16282,2016,DN,44,m,NA,2.72,2.669,4.284,5,14,0.114,1.069333,0.9993333
BK16285,2016,DN,48,f,NA,2.914,3.352,4.296,5,14,0.12,1.100333,1.130333
BK16287,2016,DN,41,f,NA,2.694,2.712,4.342,4,11,0.1236667,0.9976667,0.9713333
BK16289,2016,DN,36,m,NA,2.615,2.611,3.83,5,11,0.112,0.616,0.6623333
BK16290,2016,DN,42,f,NA,1.626,2.402,3.822,4,15,0.1173333,0.9426667,0.9346667
BK16291,2016,DN,45,f,NA,2.966,3.242,4.837,5,15,0.1253333,0.9456667,1.1
BK16292,2016,DN,40,f,NA,2.766,2.562,3.733,4,14,0.1266667,0.9576667,0.852
BK16293,2016,DN,40,m,NA,2.619,2.687,4.126,5,13,0.148,0.9166667,0.747
BK180001U21,2018,23,52,f,24,2.487,2.793,5.163,4,13,0.1876667,1.183333,1.272667
BK180051U21,2018,44,52,f,25,3.352,3.759,4.819,6,13,0.179,0.867,0.9503333
BK180052U21,2018,44,61,f,38,3.829,3.766,5.552,4,13,0.1896667,1.331,1.202667
BK180053U21,2018,44,59,f,37,3.122,3.309,4.519,5,NA,NA,NA,NA
BK180103U21,2018,44,37,f,18,2.043,1.962,4.281,3,15,0.1246667,0.5966667,0.64
BK180107U21,2018,44,45,f,17,2.776,3.113,4.606,5,13,0.1573333,1.025667,1.016
BK180109U21,2018,44,44,f,18,2.873,2.878,4.918,4,13,0.1716667,1.082,1.127
BK180110U21,2018,44,43,f,18,2.631,3.071,4.459,4,11,0.1513333,0.8716667,0.764
BK180111U21,2018,44,44,f,18,2.756,3.267,4.913,5,13,0.1483333,0.97,0.9946667
BK180112U21,2018,44,41,f,16,3.057,3.263,5.018,5,NA,NA,NA,NA
BK180113U21,2018,44,43,f,18,3.15,3.394,5.208,5,11,0.2096667,0.8883333,0.8316667
BK180114U21,2018,44,39,f,17,NA,2.942,3.803,5,NA,NA,NA,NA
BK180116U21,2018,44,37,f,13,2.636,2.645,4.245,5,13,0.094,0.8373333,0.8446667
BK180151U21,2018,27,44,f,20,2.475,2.663,4.35,6,13,0.1766667,1.004333,1.023333
BK180152U21,2018,27,42,f,19,1.775,2.313,3.556,4,12,0.135,0.8963333,0.826
BK180154U21,2018,27,44,f,20,2.911,3.091,3.63,3,13,0.087,1.019333,0.9913333
BK180156U21,2018,27,45,f,15,2.365,2.831,3.181,5,NA,NA,NA,NA
BK180157U21,2018,27,49,f,20,3.076,2.944,5.751,6,12,0.1046667,0.9436667,1.024333
BK180158U21,2018,27,40,f,15,2.637,2.767,4.562,5,12,0.193,0.801,0.7553333
BK180159U21,2018,27,39,f,15,2.447,2.428,NA,4,13,0.117,0.971,0.9026667
BK180162U21,2018,27,35,m,12,2.025,2.645,3.75,4,14,0.122,0.6813333,0.7083333
BK180164U21,2018,27,38,f,15,2.777,2.475,4.034,4,11,0.112,0.6886667,0.7556667
BK180165U21,2018,27,43,m,15,2.721,2.751,4.432,5,12,0.096,0.7253333,0.786
BK180166U21,2018,27,38,f,14,2.058,2.442,3.743,5,13,0.1743333,0.723,0.768
BK180167U21,2018,27,39,f,15,2.193,2.437,4.14,4,13,0.1256667,0.5233333,0.951
BK180201U21,2018,27,52,f,27,2.732,NA,4.599,6,13,0.133,0.9653333,0.9893333
BK180202U21,2018,27,67,f,36,3.668,4.018,5.537,5,14,0.202,1.529,1.769333
BK180203U21,2018,27,74,f,40,4.072,4.186,6.03,4,NA,NA,NA,NA
BK180204U21,2018,27,71,f,45,3.89,4.447,5.41,5,14,0.2386667,1.385333,1.543333
BK180205U21,2018,27,56,f,28,3.211,3.46,6.333,5,12,0.108,1.622333,1.531333
BK180206U21,2018,27,54,f,29,2.941,2.962,4.218,5,NA,NA,NA,NA
BK180207U21,2018,27,68,f,34,3.734,3.981,7.038,8,12,0.273,1.486667,1.546667
BK180208U21,2018,27,58,m,26,3.222,3.148,5.031,6,14,0.2883333,1.368667,1.343667
BK180209U21,2018,27,58,f,35,2.86,3.968,6.086,5,NA,NA,NA,NA
BK180251U21,2018,23,46,f,19,NA,2.954,4.533,5,14,0.1896667,0.973,1.101333
BK180252U21,2018,23,36,f,13,2.311,2.437,3.758,6,10,0.1303333,0.7763333,0.7766667
BK180301U21,2018,41,62,f,35,3.338,3.697,5.857,5,16,0.1836667,1.238,1.324333
BK180352U21,2018,41,38,m,15,3.107,NA,3.902,3,NA,NA,NA,NA
BK180354U21,2018,41,43,m,17,3.026,2.816,3.164,6,15,0.1483333,0.98,1.105
BK180355U21,2018,41,37,f,15,1.736,1.877,3.794,3,12,0.07333333,0.6236667,0.6326667
BK185005,2018,GS,53,m,32,3.064,2.877,5.059,6,15,0.1943333,1.155333,1.167
BK185010,2018,GS,40,f,19,2.799,2.869,3.29,4,11,0.1273333,0.818,0.8003333
BK185013,2018,GS,53,m,28,2.791,3.053,2.742,5,10,0.1896667,1.467333,1.531333
BK185015,2018,GS,44,m,18,2.549,2.863,3.326,5,14,0.1846667,0.8213333,0.8643333
BK185017,2018,GS,40,m,22,2.867,3.15,4.598,6,13,0.1316667,0.833,0.8913333
BK185018,2018,GS,58,m,35,3.392,3.454,4.937,4,10,0.2326667,1.424333,1.433667
BK185019,2018,GS,61,f,36,3.124,3.31,5.256,5,14,0.1893333,1.407,1.488
BK185022,2018,GS,57,m,25,3.301,3.299,5.969,6,11,0.183,1.362,1.411333
BK185025,2018,GS,51,f,29,2.562,2.865,5.245,4,14,0.199,1.029333,1.034
BK185037,2018,GS,42,m,23,2.569,2.662,4.064,5,15,0.159,0.7516667,0.802
BK185040,2018,GS,40,m,17,3.008,2.895,4.496,4,13,0.1933333,0.8303333,0.8936667
BK185045,2018,GS,40,f,20,2.367,2.537,4.385,4,NA,NA,NA,NA
BK185048,2018,GS,36,m,17,2.37,2.312,3.9,4,14,0.1706667,0.862,0.7806667
BK185050,2018,GS,36,f,18,2.079,2.269,3.119,4,12,0.1293333,0.8013333,0.8523333
BK185057,2018,GS,35,f,15,2.434,2.562,3.806,3,14,0.1176667,0.84,0.7753333
BK185060,2018,GS,35,m,16,2.019,2.281,3.452,4,14,0.13,0.7853333,0.776
BK185072,2018,128,55,f,31,2.858,3.159,5.234,4,14,0.2106667,1.235667,1.253333
BK185082,2018,128,35,m,15,2.568,2.779,4.565,4,11,0.1353333,0.7076667,0.7466667
